number_of_seats,length_mm,width_mm,height_mm,curb_weight_kg,maximum_torque_n_m,number_of_cylinders,valves_per_cylinder,turnover_of_maximum_torque_rpm,capacity_cm3,engine_hp,engine_hp_rpm,number_of_gears,injection_type_Injector,injection_type_Monoinjection,injection_type_Multi-point fuel injection,injection_type_carburetor,injection_type_direct injection,cylinder_layout_Opposed,cylinder_layout_Rotary-piston,cylinder_layout_V-type,cylinder_layout_W-type,cylinder_layout_inline,engine_type_Gas,engine_type_Gasoline,engine_type_Hybrid,boost_type_none,drive_wheels_Four wheel drive (4WD),drive_wheels_Front wheel drive,drive_wheels_Rear wheel drive,mixed_fuel_consumption_per_100_km_l
2,4420,1870,1300,1440,434,8,2,3250,4942,260,5250,4,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,8.0
4,4660,1890,1340,1615,407,8,4,4000,3506,354,6500,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,13.4
4,4660,1890,1340,1615,427,8,4,4600,4601,326,5800,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,12.2
2,4155,1745,1230,1155,407,8,2,3200,4942,228,4000,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,14.4
2,4115,1735,1245,980,579,8,2,4500,4942,370,5750,5,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,15.7
5,4788,1938,1745,1963,332,6,4,3000,3471,240,5750,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,13.2
2,4425,1810,1175,1425,284,6,4,5400,2977,274,7300,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,10.0
2,4425,1810,1175,1410,284,6,4,5400,2977,255,6800,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,10.0
2,4425,1810,1175,1370,284,6,4,5400,2977,274,7300,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,10.0
2,4425,1810,1175,1445,298,6,4,5300,3179,280,7300,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,12.0
5,4590,1870,1655,1780,353,4,4,4500,2300,240,6000,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,11.8
4,4374,1725,1390,1260,193,4,4,6000,1991,200,7400,6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.7
5,4727,1839,1440,1495,254,6,4,5000,3500,280,6200,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,11.2
